"","x"
"1",23311.980469
"2",23398.599609
"3",23331.089844
"4",23329.75
"5",23111.189453
"6",23218.470703
"7",23354.310547
"8",23264.070313
"9",23413.259766
"10",23381.509766
"11",23356.990234
"12",23339.759766
"13",23601.779297
"14",23590.910156
"15",23658.990234
"16",23635.099609
"17",23598.900391
"18",23580.429688
"19",23671.880859
"20",23655.169922
"21",23822.060547
"22",23729.529297
"23",23721.839844
"24",23685.009766
"25",23148.529297
"26",23256.929688
"27",23177
"28",23215.160156
"29",23413.25
"30",23444.560547
"31",23381.939453
"32",23143.910156
"33",23307.410156
"34",22906.669922
"35",22782.439453
"36",22820.080078
"37",22519.689453
"38",22577.009766
"39",23020.269531
"40",22880.220703
"41",22537.810547
"42",22560.5
"43",22777.839844
"44",22771.439453
"45",23091.949219
"46",23090.820313
"47",22890.599609
"48",22556.650391
"49",22619.179688
"50",22533.109375
"51",22083.359375
"52",22041.859375
"53",22256.439453
"54",22225.880859
"55",22115.300781
"56",22251.150391
"57",22311.080078
"58",22464.820313
"59",22299.630859
"60",22367.820313
"61",22337.490234
"62",21726.900391
"63",21718.050781
"64",21870.339844
"65",22034.560547
"66",22101.269531
"67",22089.050781
"68",21772.669922
"69",21672.029297
"70",21569.669922
"71",21512.519531
"72",22013.570313
"73",22044.369141
"74",21806.609375
"75",22183.050781
"76",22401.240234
"77",22547.710938
"78",22580.769531
"79",22737.009766
"80",22668.300781
"81",22689.960938
"82",22915.089844
"83",23047.089844
"84",23244.349609
"85",23211.480469
"86",23321.220703
"87",22989.810547
"88",22930.279297
"89",23044.240234
"90",23082.679688
"91",23493.029297
"92",23366.369141
"93",23261.080078
"94",22669.679688
"95",22618.669922
"96",22686.050781
"97",22924.25
"98",22554.929688
"99",22484.310547
"100",22392.160156
"101",22282.189453
"102",22285.519531
"103",22069.240234
"104",21838.429688
"105",21575.259766
"106",21615.089844
"107",21354.660156
"108",20887.039063
"109",20969.140625
"110",21225.900391
"111",21225.880859
"112",20986.890625
"113",20382.869141
"114",20263.310547
"115",19813.980469
"116",19855.720703
"117",20338.550781
"118",20440.080078
"119",20803.289063
"120",20658.650391
"121",20147.310547
"122",20468.669922
"123",20854.669922
"124",20582.189453
"125",20683.009766
"126",20904.560547
"127",21437.490234
"128",21277.279297
"129",21303.310547
"130",21312.380859
"131",21371.869141
"132",21345.220703
"133",21362.419922
"134",21416.5
"135",21915.419922
"136",21968.929688
"137",21900.960938
"138",21968.949219
"139",21850.150391
"140",21953.960938
"141",21883.660156
"142",22088.789063
"143",22190.970703
"144",22222.009766
"145",21923.699219
"146",21588.839844
"147",21655.880859
"148",21807.560547
"149",22271.279297
"150",22541.130859
"151",NA
"152",22539.25
"153",22517.810547
"154",22463.699219
"155",21970.289063
"156",21817.730469
"157",21895.400391
"158",21863.509766
"159",22005.320313
"160",21874.769531
"161",21524.650391
"162",21704.779297
"163",21731.369141
"164",22175.339844
"165",22394.580078
"166",22326.220703
"167",22597.970703
"168",22621.220703
"169",22750.650391
"170",22976.650391
"171",22937.140625
"172",22953.720703
"173",22915.279297
"174",23252.410156
"175",23180.519531
"176",23117.449219
"177",23502.509766
"178",23371.539063
"179",23179.039063
"180",23209.630859
"181",23125.029297
"182",23207.039063
"183",22859.859375
"184",22984.480469
"185",23214.400391
"186",23138.539063
"187",22973.949219
"188",23178.849609
"189",23033.970703
"190",22951.300781
"191",23218.320313
"192",23336.519531
"193",23228.330078
"194",23094.880859
"195",23340.099609
"196",23438.150391
"197",23315.990234
"198",22999.949219
"199",22835.820313
"200",22698.339844
"201",22806.580078
"202",22846.539063
"203",23304.019531
"204",23206.369141
"205",23249.789063
"206",23189.619141
"207",23038.949219
"208",23036.939453
"209",22881.029297
"210",22744.390625
"211",23069.849609
"212",22901.410156
"213",22463.830078
"214",22649.150391
"215",23032.150391
"216",23660.060547
"217",23657.810547
"218",23700.859375
"219",23580.289063
"220",23696.279297
"221",23684.449219
"222",23681.279297
"223",23806.349609
"224",23789.089844
"225",23881.289063
"226",24038.550781
"227",23910.470703
"228",23728.699219
"229",23712.570313
"230",23743.099609
"231",23811.169922
"232",23744.189453
"233",23338.240234
"234",23218.119141
"235",23245.960938
"236",23114.660156
"237",23069.230469
"238",23143.820313
"239",22888.75
"240",22812.179688
"241",22921.560547
"242",23179.550781
"243",23243.240234
"244",23244.869141
"245",23306.390625
"246",23340.050781
"247",22817.279297
"248",22684.150391
"249",22712.779297
"250",22996.589844
"251",22787.330078
"252",22846.25
"253",22888.759766
"254",22791.279297
"255",22902
"256",22986.410156
"257",23133.349609
"258",22928.949219
"259",23033.119141
"260",23082.25
"261",22733.900391
"262",22450.060547
"263",21976.099609
"264",21960.640625
"265",22141.609375
"266",22035.419922
"267",21397.769531
"268",21269.380859
"269",21423.130859
"270",21636.849609
"271",21579.259766
"272",21962.980469
"273",22285.789063
"274",22165.529297
"275",22298.410156
"276",22535.939453
"277",22587.720703
"278",22664.519531
"279",22394.080078
"280",22568.240234
"281",22388.560547
"282",22317.199219
"283",22437.439453
"284",22828.179688
"285",22836.960938
"286",22500.669922
"287",22657.630859
"288",22579.779297
"289",22702.970703
"290",22660.490234
"291",22264.929688
"292",22269.609375
"293",21901.949219
"294",21756.080078
"295",21539.490234
"296",21473.949219
"297",21583.5
"298",21568.689453
"299",21182.160156
"300",21436.699219
"301",21846.449219
"302",21732.320313
"303",21887.75
"304",21834.449219
"305",22065.529297
"306",22151.060547
"307",22448.539063
"308",22523.939453
"309",22565.080078
"310",22510.080078
"311",22377.150391
"312",22596.970703
"313",22843.169922
"314",23186.960938
"315",23003.640625
"316",23038.800781
