Date,Hour,AAN,ACTG,AEO,AGFS,AGNC,AGX,ALGT,ALLY,AMP,AMTD,APO,BEN,BGCP,BKD,BLK,BPOP,BYD,CIT,COF,CRR,CSBK,CTB,CWH,DAL,DAN,FCE/A,FITB,FNSR,GBX,GLW,GM,GME,GNW,GT,HBHC,HCA,HIIQ,HLS,HTZ,ICE,ILG,INVA,ISBC,ITGR,KRA,KSS,LB,LMT,LPNT,MCHP,MD,MOS,NDAQ,NEWS,NWL,OCLR,ORN,PAH,PDLI,PEN,PENN,PINC,PLAB,PRTY,PVAC,RCII,RDN,RJF,SC,SEIC,SPGI,SRI,FCE.A,SYX,TGI,TGNA,TROW,UHS,UNH,URBN,VRS,VSTO,WAIR,WLL
11/01/2017,13:00:00+00:00,37.03,4.55,13.08,5.99,20.18,68.65,137.1,26.445,157.079,50.332,32.299,42.51,15.038,10.25,472.998,35.46,29.54,46.775,92.389,8.34,16.99,33.05,42.095,50.188,31.005,24.87,29.18,23.82,51.994,31.58,43.37,18.8,3.44,30.68,49.35,76.23,21.8,45.905,25.24,66.23,29.86,12.43,13.816,48.75,49.7,42.73,44.16,308.445,47.6,94.23,42.84,22.94,72.77,12.25,40.945,8.3,7.21,10.79,2.97,100.4,26.66,32.17,9.65,11.2,40.01,9.91,21.23,85.32,16.87,64.91,156.8,22.57,24.87,30.333,31.5,12.175,93.165,101.6,210.87,24.86,7.15,20.7,9.175,25.54
11/01/2017,14:00:00+00:00,36.29,4.55,12.9,6,20.17,68.3,136.55,26.39,157.75,49.759,32.24,42.71,14.9,10.28,473.65,35.25,29.26,46.665,91.672,8.21,16.93,33.45,42.095,49.855,30.935,24.75,29.13,23.68,51.596,31.445,42.87,18.81,3.4,30.625,48.825,76.73,21.975,46.18,25.04,66.32,29.71,12.31,13.722,47.65,49.3,42.2,43.72,309.36,47.775,94.41,41.375,22.775,72.765,12.25,41.08,8.275,7.11,10.695,2.97,99.65,26.435,31.585,9.575,11,39.83,10.02,21.14,85.15,16.82,64.69,156.9,22.02,24.75,32.008,30.9,12.235,93.48,101.52,211.2,24.7,7.14,20.65,9.05,25.3
11/01/2017,15:00:00+00:00,35.94,4.4,12.82,5.97,20.15,68.1,135.95,26.24,156.775,49.48,32.2,42.6,14.84,10.05,471.64,35.3,29.08,46.396,91.523,8.07,16.801,33.175,42.02,49.815,30.781,24.7,29.06,23.47,51.745,31.411,42.71,18.62,3.385,30.4,48.75,77.245,21.875,45.762,24.81,66.16,29.605,12.31,13.623,47.23,49.17,41.87,42.755,308.407,47.35,94.25,42,22.88,72.7,12.22,41.13,8.17,6.96,10.7,2.96,100.15,26.24,31.45,9.525,10.94,39.64,10.05,21.025,85.02,16.78,64.48,156.305,21.76,24.7,31.47,30.6,12.18,93.05,101.8,209.86,24.48,7.12,20.51,9.05,24.7
11/01/2017,16:00:00+00:00,35.67,4.425,12.83,5.97,20.06,68.35,136.4,26.215,156.437,49.351,31.92,42.44,14.84,10.055,472.06,34.34,29.09,46.197,91.264,8.109,16.87,33.075,41.99,49.959,30.841,24.74,28.97,22.92,51.844,31.316,42.68,18.666,3.38,30.29,48.5,76.79,21.6,45.53,24.41,66.27,29.69,12.28,13.603,47.05,49.29,41.77,42.7,308.54,46.95,93.75,42.09,22.79,72.55,12.26,40.99,8.135,6.99,10.64,3,100.55,26.14,31.62,9.5,10.975,39.4,10.06,20.91,84.72,16.79,64.61,156.54,22.02,24.74,31.739,30.75,12.17,93.2,101.2,209.68,24.62,7.14,20.54,9.075,25.16
11/01/2017,17:00:00+00:00,36.04,4.45,12.83,5.9,20.145,68.45,136.6,26.25,156.208,49.162,31.89,42.41,14.86,10,471.985,34.58,29.26,46.097,91.164,8.029,16.86,33.025,41.95,50.406,30.851,24.79,29.07,22.62,51.745,31.286,42.87,18.595,3.35,30.21,48.45,76.73,21.3,45.17,24.42,66.23,29.78,12.17,13.618,47.05,49.28,41.77,42.94,307.7,46.9,92.81,41.18,22.579,72.73,12.2,40.89,8.05,6.92,10.56,3.02,100.1,26.01,31.77,9.35,11,39.32,10.015,20.85,84.21,16.75,64.415,157.44,21.96,24.79,31.086,30.7,12.17,93.05,101.04,208.95,24.675,7.091,20.52,9,24.84
11/01/2017,18:00:00+00:00,36.21,4.475,12.96,5.98,20.155,68.85,137.45,26.385,156.606,49.172,31.81,42.46,14.85,9.94,471.33,34.36,29.36,46.247,91.523,8.09,16.92,32.725,42.17,50.505,30.796,24.95,29.04,22.39,51.645,31.45,43.135,18.775,3.4,30.21,48.6,77.1,20.95,45.34,24.52,66.28,29.72,12.26,13.628,47.355,49.045,42.11,43.615,307.21,46.95,93.17,41.33,22.78,72.62,12.26,40.88,8.1,6.99,10.535,3,100.05,26.16,31.725,9.425,11.025,39.33,10.11,20.87,84.21,16.81,64.405,156.73,21.99,24.95,31.47,30.9,12.345,92.76,102.035,209.52,24.9,7.11,20.5,9.15,25.04
11/01/2017,19:00:00+00:00,35.95,4.45,12.92,5.94,20.195,68.8,136.35,26.35,156.536,49.142,31.54,42.385,14.885,9.85,469.1,34.66,29.09,46.107,91.493,8.125,16.9,32.7,42.2,50.034,30.811,24.95,28.945,22.07,50.949,31.436,43.095,18.59,3.4,30.24,48.5,76.93,21.3,45.32,24.37,66.18,29.615,12.215,13.563,47.65,49.34,41.9,43.59,306.58,46.675,92.87,41.45,22.67,72.38,12.28,41.01,8.031,7,10.56,2.99,99.55,26.07,31.49,9.45,10.975,39.46,10.16,20.79,83.75,16.78,64.41,156.43,22.12,24.95,31.41,30.9,12.37,92.57,102.191,209.52,24.915,7.15,20.54,9.175,25.24
11/01/2017,20:00:00+00:00,35.935,4.5,12.94,5.94,20.2,68.8,136.35,26.35,156.606,49.082,31.62,42.405,14.875,9.84,469.21,34.66,29.1,46.127,91.463,8.14,16.9,32.65,42.26,50.039,30.821,24.945,28.965,22.09,50.949,31.475,43.13,18.6,3.4,30.23,48.55,76.87,21.3,45.335,24.4,66.24,29.65,12.21,13.583,47.55,49.33,41.9,43.61,306.6,46.6,92.99,41.37,22.64,72.41,12.29,41.01,8.02,7,10.6,3,99.65,26.07,31.45,9.4,11,39.453,10.175,20.8,83.8,16.78,64.349,156.47,22.13,24.945,31.579,30.9,12.365,92.59,102.09,209.56,24.94,7.15,20.55,9.175,25.24
11/02/2017,13:00:00+00:00,35.92,4.45,13.113,5.82,19.96,68.25,135.4,26.39,159.262,49.062,32,42.74,14.944,10.56,472.16,34.26,29.27,46.37,91.393,8.21,17.408,32.65,42.03,49.601,30.811,24.83,29.11,20.605,51.496,31.47,43.04,18.35,3.395,30.025,48.9,77.295,21.825,49.31,24.35,68,29.652,12.29,13.608,47.75,49.26,42,46.985,307.325,46.925,93.84,41.83,22.71,72.51,12.2,32.08,6.4,7,10.5,2.95,100.7,26.38,31.82,9.6,10.925,39.95,10.08,20.93,84.38,16.661,64.86,156.31,20.71,24.83,31.111,30.85,12.17,95.48,103.14,209.64,25.13,7.16,20.45,9.175,25.16
11/02/2017,14:00:00+00:00,35.88,4.475,13.21,5.84,19.89,67.7,134.85,26.39,158.183,49.042,32.08,42.64,14.969,10.82,472.98,34.38,29.26,45.958,91.121,8.32,17.249,32.625,42.24,49.611,31.02,24.91,29.07,20.06,51.717,31.401,42.69,18.275,3.39,29.95,49,76.71,21.8,48.76,24.05,68.39,29.67,12.37,13.588,46.9,48.75,41.835,46.86,307.808,45.95,92.92,42.555,22.555,72.49,12.2,30.69,6.316,7,10.42,3.015,100.55,26.38,31.56,9.55,10.85,39.86,9.86,20.74,84.05,16.805,64.69,156.345,21.39,24.91,31.001,31.1,12.01,94.207,102.12,209.65,25.15,7.17,20.58,9.25,25.42
11/02/2017,15:00:00+00:00,35.45,4.5,13.16,5.643,19.96,67.65,133.25,26.45,158.337,49.381,32.2,42.9,15.008,10.97,474.535,34.22,29.18,45.948,91.423,8.265,17.189,32.45,42.27,49.403,30.89,25.11,29.045,19.71,51.695,31.391,42.845,18.37,3.38,29.855,49.15,76.71,20.575,48.87,24.11,68.16,29.78,12.23,13.628,47.1,49.48,41.7,48.035,309.09,45.6,92.85,42.57,22.48,72.87,12.21,30,6.125,6.96,10.5,3.02,100.15,26.45,31.51,9.575,11.075,39.26,9.765,21.06,85.09,16.835,64.5,156.51,21.21,25.11,30.966,31.15,12.01,94.17,102.23,209.89,25.13,7.16,20.66,9.275,25.04
