"Stock Ticker","Security Desc",Shares,"Market Value","% Of Holdings"
BYD,"BOYD GAMING CORP",103641.00,3059482.32,4.22%
NDAQ,"NASDAQ INC",31580.00,2297129.20,3.16%
ICE,"INTERCONTINENTAL EXCHANGE INC COM",33685.00,2222873.15,3.06%
GLW,"CORNING INC",67162.00,2163959.64,2.98%
SPGI,"S&P Global Inc",12840.00,2055170.40,2.83%
COF,"CAPITAL ONE FINL CORP",22743.00,2023444.71,2.79%
RJF,"RAYMOND JAMES FINANCIAL INC",23245.00,1956531.65,2.70%
DAN,"DANA INC",59763.00,1864007.97,2.57%
SC,"SANTANDER CONSUMER USA HDG INC COM",111917.00,1837677.14,2.53%
FCE/A,"FOREST CITY RLTY TR INC",71744.00,1797904.64,2.48%
TGI,"TRIUMPH GROUP INC NEW",49730.00,1703252.50,2.35%
SEIC,"SEI INVESTMENTS CO",26043.00,1695659.73,2.34%
AMTD,"TD AMERITRADE HLDG CORP",34741.00,1689454.83,2.33%
ALLY,"ALLY FINL INC",64922.00,1669793.84,2.30%
CIT,"CIT GROUP INC",36227.00,1646154.88,2.27%
PEN,"PENUMBRA INC",14006.00,1590381.30,2.19%
BEN,"FRANKLIN RES INC",37406.00,1566937.34,2.16%
AMP,"AMERIPRISE FINL INC",9695.00,1551103.05,2.14%
CRR,"CARBO CERAMICS INC",183310.00,1552635.70,2.14%
HBHC,"HANCOCK HLDG CO",31298.00,1478830.50,2.04%
MD,"MEDNAX INC",33001.00,1467554.47,2.02%
GNW,"GENWORTH FINL INC",415671.00,1438221.66,1.98%
FITB,"FIFTH THIRD BANCORP",46892.00,1327043.60,1.83%
INVA,"INNOVIVA INC",104673.00,1298991.93,1.79%
OCLR,"OCLARO INC",199792.00,1234714.56,1.70%
NEWS,"NEWSTAR FINANCIAL INC",101214.00,1215580.14,1.67%
PENN,"PENN NATL GAMING INC",44722.00,1203916.24,1.66%
ORN,"ORION GROUP HOLDINGS INC",154177.00,1197955.29,1.65%
APO,"APOLLO GLOBAL MGMT LLC",37904.00,1180330.56,1.63%
PINC,"PREMIER INC",33996.00,1032798.48,1.42%
SYX,"SYSTEMAX INC",33513.00,1032200.40,1.42%
WAIR,"WESCO AIRCRAFT HLDGS INC",111830.00,995287.00,1.37%
TGNA,"TEGNA INC",78333.00,964279.23,1.33%
ITGR,"INTEGER HLDGS CORP",20720.00,961408.00,1.32%
TROW,"PRICE T ROWE GROUP INC",10190.00,952663.10,1.31%
KRA,"KRATON CORPORATION",19044.00,939630.96,1.29%
HIIQ,"HEALTH INS INNOVATIONS INC",34490.00,810515.00,1.12%
RDN,"RADIAN GROUP INC",37407.00,750010.35,1.03%
KSS,"KOHLS CORP",17464.00,712356.56,0.98%
GME,"GAMESTOP CORP NEW",40088.00,689513.60,0.95%
BPOP,"POPULAR INC",20287.00,663182.03,0.91%
URBN,"URBAN OUTFITTERS INC",27270.00,659661.30,0.91%
HCA,"HCA HEALTHCARE INC",8314.00,655642.04,0.90%
PDLI,"PDL BIOPHARMA INC",215209.00,654235.36,0.90%
DAL,"DELTA AIR LINES INC DEL",12349.00,618190.94,0.85%
ISBC,"INVESTORS BANCORP INC NEW",45696.00,610041.60,0.84%
GM,"GENERAL MTRS CO",14048.00,591561.28,0.81%
SRI,"STONERIDGE INC",26550.00,579055.50,0.80%
WLL,"WHITING PETE CORP NEW",82543.00,545609.23,0.75%
GBX,"GREENBRIER COS INC",10185.00,506194.50,0.70%
NWL,"NEWELL BRANDS INC",16225.00,509627.25,0.70%
PVAC,"PENN VA CORP NEW",12173.00,478642.36,0.66%
ACTG,"ACACIA RESH CORP",113578.00,471348.70,0.65%
BLK,"BLACKROCK INC",978.00,461811.60,0.64%
PAH,"PLATFORM SPECIALTY PRODS CORP COM",44680.00,461991.20,0.64%
HLS,"HEALTHSOUTH CORP",9322.00,460133.92,0.63%
CSBK,"CLIFTON BANCORP INC",23487.00,396695.43,0.55%
VSTO,"VISTA OUTDOOR INC",21563.00,397406.09,0.55%
PLAB,"PHOTRONICS INC",43181.00,390788.05,0.54%
AEO,"AMERICAN EAGLE OUTFITTERS NEW COM",29586.00,378404.94,0.52%
FNSR,"FINISAR CORP",20060.00,375723.80,0.52%
LB,"L BRANDS INC",7928.00,375628.64,0.52%
UHS,"UNIVERSAL HLTH SVCS INC",3511.00,353698.14,0.49%
MOS,"MOSAIC CO NEW",15431.00,349357.84,0.48%
PRTY,"PARTY CITY HOLDCO INC",29035.00,284543.00,0.39%
AGNC,"AGNC INVT CORP",12394.00,244533.62,0.34%
LPNT,"LIFEPOINT HEALTH INC",4982.00,226681.00,0.31%
MCHP,"MICROCHIP TECHNOLOGY INC",2420.00,224600.20,0.31%
AAN,"AARONS INC",6117.00,220150.83,0.30%
AGFS,"AGROFRESH SOLUTIONS",43154.00,220085.40,0.30%
ALGT,"ALLEGIANT TRAVEL CO",1591.00,202454.75,0.28%
VRS,"VERSO CORP",16638.00,122455.68,0.17%
