"Date","Ticker","Share","MarketValue","Holding"
2017-11-01,"BYD",113316,3312226.68,4.67
2017-11-01,"PEN",23988,2411993.4,3.4
2017-11-01,"RJF",27260,2311102.8,3.26
2017-11-01,"TGNA",182172,2227963.56,3.14
2017-11-01,"TGI",66480,2064204,2.91
2017-11-01,"BEN",47310,1993170.3,2.81
2017-11-01,"ALLY",72502,1894477.26,2.67
2017-11-01,"GNW",552432,1828549.92,2.58
2017-11-01,"FCE-A",69312,1707154.56,2.41
2017-11-01,"CIT",34999,1631653.38,2.3
2017-11-01,"ITGR",33346,1620615.6,2.28
2017-11-01,"RDN",76836,1610482.56,2.27
2017-11-01,"OCLR",193020,1596275.4,2.25
2017-11-01,"NDAQ",20956,1522453.4,2.15
2017-11-01,"TROW",16147,1500056.3,2.11
2017-11-01,"CRR",177098,1466371.44,2.07
2017-11-01,"AMTD",29246,1462007.54,2.06
2017-11-01,"SC",85336,1419991.04,2
2017-11-01,"MD",31885,1396244.15,1.97
2017-11-01,"DAN",44600,1359854,1.92
2017-11-01,"NEWS",110623,1358450.44,1.91
2017-11-01,"WAIR",145114,1313281.7,1.85
2017-11-01,"INVA",101125,1237770,1.74
2017-11-01,"GLW",38916,1218459.96,1.72
2017-11-01,"GT",38358,1173371.22,1.65
2017-11-01,"SPGI",7398,1157565.06,1.63
2017-11-01,"PENN",43206,1127244.54,1.59
2017-11-01,"FITB",38708,1118661.2,1.58
2017-11-01,"PINC",34238,1118555.46,1.58
2017-11-01,"GM",25650,1102437,1.55
2017-11-01,"ORN",145320,1046304,1.47
2017-11-01,"AMP",6473,1013283.42,1.43
2017-11-01,"KRA",20188,989817.64,1.4
2017-11-01,"WLL",165354,993777.54,1.4
2017-11-01,"SYX",32377,924363.35,1.3
2017-11-01,"BLK",1920,903993.6,1.27
2017-11-01,"VSTO",40413,845035.83,1.19
2017-11-01,"COF",8804,811552.72,1.14
2017-11-01,"URBN",29967,734790.84,1.04
2017-11-01,"GME",38732,723901.08,1.02
2017-11-01,"NWL",17735,723233.3,1.02
2017-11-01,"GBX",13667,713417.4,1.01
2017-11-01,"HIIQ",33322,716423,1.01
2017-11-01,"KSS",16872,704574.72,0.99
2017-11-01,"HCA",9089,687582.85,0.97
2017-11-01,"PVAC",17330,675350.1,0.95
2017-11-01,"HTZ",25158,625679.46,0.88
2017-11-01,"PRTY",56279,627510.85,0.88
2017-11-01,"SRI",25650,583281,0.82
2017-11-01,"AEO",39479,514016.58,0.72
2017-11-01,"ACTG",109730,493785,0.7
2017-11-01,"LB",11286,485749.44,0.68
2017-11-01,"APO",14830,468331.4,0.66
2017-11-01,"PAH",43168,461897.6,0.65
2017-11-01,"PLAB",47197,457810.9,0.65
2017-11-01,"FNSR",19380,456205.2,0.64
2017-11-01,"MCHP",4790,454092,0.64
2017-11-01,"ALGT",3133,427341.2,0.6
2017-11-01,"AAN",11286,415324.8,0.59
2017-11-01,"HLS",9006,415536.84,0.59
2017-11-01,"UHS",4079,418913.3,0.59
2017-11-01,"AGFS",66579,392816.1,0.55
2017-11-01,"LPNT",7867,378796.05,0.53
2017-11-01,"MOS",14911,333111.74,0.47
2017-11-01,"BKD",26947,270278.41,0.38
2017-11-01,"RCII",27132,269692.08,0.38
2017-11-01,"CTB",3420,112176,0.16
2017-11-01,"VRS",16074,112678.74,0.16
2017-11-01,"PDLI",33516,99207.36,0.14
2017-11-02,"BYD",117292,3413197.2,4.66
2017-11-02,"RJF",28216,2364782.96,3.23
2017-11-02,"TGI",68812,2126290.8,2.9
2017-11-02,"PEN",20918,2084478.7,2.85
2017-11-02,"BEN",48970,2076817.7,2.83
2017-11-02,"TGNA",166192,2055795.04,2.81
2017-11-02,"GNW",571812,1944160.8,2.65
2017-11-02,"FCE-A",71744,1790730.24,2.44
2017-11-02,"ALLY",64922,1710694.7,2.33
2017-11-02,"CIT",36227,1676585.56,2.29
2017-11-02,"RDN",79532,1655060.92,2.26
2017-11-02,"ITGR",34514,1642866.4,2.24
2017-11-02,"OCLR",199792,1602331.84,2.19
2017-11-02,"NDAQ",21688,1570428.08,2.14
2017-11-02,"TROW",16711,1546937.27,2.11
2017-11-02,"AMTD",30270,1492311,2.04
2017-11-02,"CRR",183310,1492143.4,2.04
2017-11-02,"SC",88328,1485676.96,2.03
2017-11-02,"DAN",46164,1425544.32,1.95
2017-11-02,"NEWS",114503,1404951.81,1.92
2017-11-02,"MD",33001,1364591.35,1.86
2017-11-02,"GLW",40280,1274056.4,1.74
2017-11-02,"INVA",104673,1278057.33,1.74
2017-11-02,"WAIR",136031,1251485.2,1.71
2017-11-02,"GT",39702,1200191.46,1.64
2017-11-02,"SPGI",7654,1198310.24,1.64
2017-11-02,"PENN",44722,1165902.54,1.59
2017-11-02,"FITB",40064,1160253.44,1.58
2017-11-02,"GM",26550,1145101.5,1.56
2017-11-02,"PINC",35438,1114525.1,1.52
2017-11-02,"WLL",171154,1079981.74,1.47
2017-11-02,"SYX",33513,1062026.97,1.45
2017-11-02,"AMP",6697,1053973.86,1.44
2017-11-02,"ORN",150416,1052912,1.44
2017-11-02,"KRA",20896,1031008.64,1.41
2017-11-02,"BLK",1984,931071.36,1.27
2017-11-02,"VSTO",41829,859585.95,1.17
2017-11-02,"COF",9112,837392.8,1.14
2017-11-02,"URBN",31015,773514.1,1.06
2017-11-02,"NWL",18355,752555,1.03
2017-11-02,"GME",40088,745636.8,1.02
2017-11-02,"HIIQ",34490,734637,1
2017-11-02,"KSS",17464,731741.6,1
2017-11-02,"GBX",14143,724828.75,0.99
2017-11-02,"HCA",9405,722586.15,0.99
2017-11-02,"PVAC",17938,707833.48,0.97
2017-11-02,"PRTY",58251,640761,0.87
2017-11-02,"ISBC",45696,625121.28,0.85
2017-11-02,"SRI",26550,589410,0.8
2017-11-02,"AEO",40863,528767.22,0.72
2017-11-02,"BPOP",15121,523942.65,0.72
2017-11-02,"LB",11682,509452.02,0.7
