"Date","AAN","ACTG","AEO","AGFS","AGNC","AGX","ALGT","ALLY","AMP","AMTD","APO","BEN","BGCP","BKD","BLK","BPOP","BYD","CIT","COF","CRR","CSBK","CTB","CWH","DAL","DAN","FCE-A","FITB","FNSR","GBX","GLW","GM","GME","GNW","GT","HBHC","HCA","HIIQ","HLS","HTZ","ICE","ILG","INVA","ISBC","ITGR","KRA","KSS","LB","LMT","LPNT","MCHP","MD","MOS","NDAQ","NEWS","NVDA","NWL","OCLR","ORN","PAH","PDLI","PEN","PENN","PINC","PLAB","PRTY","PVAC","RCII","RDN","RJF","SC","SEIC","SPGI","SRI","SYX","TGI","TGNA","TROW","UHS","UNH","URBN","VRS","VSTO","WAIR","WLL"
2017-10-02,43.810001,4.65,14.168373,7.02,21.511122,66.940338,129.388168,24.308281,147.901459,48.842869,29.718813,44.73,14.632989,10.62,449.950012,35.98,26.040001,49.02676,85.529938,8.51,16.541378,37.950001,40,47.772789,28.734617,25.620001,27.870001,22.43,49.157482,30.012529,42.150002,20.469999,3.37,33.41917,49.25,79.919998,15.55,45.950001,23.620001,69.330002,26.85,14.49,13.64737,52.799999,41.759998,44.619999,41.621284,311.329987,58.650002,90.18998,44.279999,21.75,77.790001,11.84,178.875732,42.93,8.86,6.77,11.34,3.4,92.300003,23.309999,32.630001,9.05,13.45,40.549999,11.35,18.76,84.550003,15.562472,61.459999,157.520004,20.59,27.033905,31.200001,13.21,90.68,112.230003,197.440002,23.99,5.15,23.5,9.55,21.559999
2017-10-03,44.189999,4.65,13.791871,7.06,21.550774,66.989601,132.522141,24.37796,148.677429,49.370636,29.639877,44.77,15.107251,10.87,450.790009,35.16,25.709999,48.67799,85.977898,8.51,16.46166,37.650002,40.400002,50.933128,28.025984,25.4,27.91,22.299999,49.356499,30.161795,43.450001,20.209999,3.49,33.160343,49.150002,79.480003,16.299999,46,23.98,69.879997,28.700001,14.48,13.60764,52.849998,41.66,44.459999,42.204163,312.859985,58.849998,90.359306,44.799999,21.76,77.75,11.88,179.245468,43.099998,8.73,6.89,11.6,3.38,91.599998,23.309999,34.209999,9.35,13.3,40.389999,11.33,18.799999,85.790001,15.522543,62.560001,159.210007,21.15,27.402729,31.200001,13.31,90.919998,112.610001,198.630005,23.110001,5.37,23.15,9.6,21.84
2017-10-04,44.610001,4.3,13.455,7.11,21.580513,66.447769,131.02977,24.149014,149.095261,49.251141,29.975348,44.869999,15.117132,10.8,457.910004,34.73,25.58,48.249504,85.948029,8.08,16.352047,36.950001,39.59,51.241215,28.405251,25.4,27.809999,22.16,49.655029,30.321012,43.779999,20.25,3.48,33.210117,48.549999,77.690002,16.950001,45.650002,24.98,70.459999,29.17,14.45,13.418921,53.25,40.849998,43.84,40.860584,313.019989,57.75,91.235802,43.66,21.719999,77.57,11.78,180.744415,43.27,8.74,6.77,11.5,3.44,92.849998,22.91,34.189999,9.05,12.85,40.23,11.48,18.65,85.529999,15.492597,62.529999,159.600006,21.99,28.170286,31.4,13.42,91.410004,112.099998,200.479996,23.030001,5.39,22.469999,9.55,21.48
2017-10-05,44.57,4.22,13.85,7.05,21.61025,66.300003,130.631805,24.129105,149.771744,49.858562,30.133219,44.759998,15.512351,10.77,464.429993,35.220001,27.18,49.206127,86.694626,7.68,16.332117,36.700001,40.389999,51.36047,28.435194,25.700001,28.219999,22.059999,50.55061,30.301113,43.849998,20.52,3.48,33.011013,48.75,77.260002,16.75,46.099998,24.450001,70.959999,28.780001,14.75,13.538113,54.150002,40.900002,44.27,42.273315,314.579987,57.25,90.937004,43.57,21.639999,77.650002,11.87,180.644501,43.799999,8.64,6.88,11.43,3.41,93.199997,24.049999,34.810001,9.1,13,41.099998,11.45,18.85,86.010002,15.582437,62.66,159.039993,22.18,27.941017,31.700001,13.49,91.75,112.139999,197.899994,23.59,5.44,22.6,9.7,22.08
2017-10-06,44.389999,4.05,13.65,7.06,21.273211,67.038857,131.278503,24.288372,150.209473,48.115955,30.054281,44.669998,15.749482,10.71,463.220001,35.360001,27.620001,49.196159,86.644859,7.39,16.371977,36.650002,40.400002,51.688427,28.375311,25.360001,28.190001,22.34,50.003307,29.942871,44.93,20.02,3.63,32.622768,48.650002,76.639999,16.9,46.5,25.290001,69.029999,29.190001,14.32,13.528179,53.150002,40.709999,43.34,42.401745,316.459991,56.5,91.186005,43.619999,21.02,73.900002,11.84,181.174133,43.900002,8.77,6.86,11.59,3.42,94.199997,24,34.5,9.15,13,41.130001,11.47,18.73,86.269997,15.652313,62.779999,158.449997,21.379999,28.220127,31.700001,13.4,91.720001,110.139999,198.059998,23.129999,5.53,21.75,9.75,20.799999
2017-10-09,43.959999,4.1,13.39,7.02,21.312862,66.201485,132.37291,24.248556,149.851334,48.434601,30.15295,44.709999,15.6902,10.25,462.450012,35.150002,27.4,48.618206,86.903679,7.46,16.46166,36.150002,40.189999,51.420101,28.305445,25.48,28.129999,22.34,50.152573,29.972725,45.330002,20.15,3.7,32.57299,48.799999,75.309998,18.6,45.860001,25.99,69.459999,29.219999,14.16,13.498382,52.700001,40.610001,42.990002,41.660801,317.299988,55.25,91.126244,42.580002,20.940001,74.5,11.81,185.261292,43,8.72,6.91,11.44,3.4,93.050003,23.67,33.860001,9.1,12.75,42.16,11.29,18.549999,86.07,15.302932,62.810001,159.169998,21.540001,27.632,32.5,12.96,91.980003,107.129997,196.300003,22.950001,5.83,21.67,9.15,21.200001
2017-10-10,43.889999,4.3,13.61,7.02,21.253386,65.807434,132.870361,24.368006,150.468124,47.707684,30.419355,44.919998,16.154583,10.49,465.48999,34.57,27.5,49.176231,86.903679,7.4,16.621094,36.5,40.57,52.374165,28.38529,25.52,28.42,21.940001,49.655029,29.883165,45.209999,20.23,3.83,32.871643,49.200001,75.449997,18.75,45.290001,26.719999,69.68,29.120001,13.94,13.597708,53.150002,40.560001,43.259998,42.431385,317.709991,54.700001,91.554527,43.029999,20.92,74.559998,11.96,188.798828,42.689999,8.62,6.94,11.55,3.49,91.550003,23.549999,33.880001,9.1,12.9,41.669998,11.33,18.77,86.480003,15.302932,63.369999,158.800003,21.68,28.200191,32.5,12.97,92.18,106.580002,194.679993,23.190001,5.82,21.190001,9.15,20.959999
2017-10-11,42.959999,4.35,13.14,7.11,21.312862,65.068573,137.446945,24.238602,151.045135,47.916798,30.498289,44.93,16.134821,10.31,473.929993,33.549999,27.799999,49.265915,86.356171,7.32,16.521448,37,40.610001,52.741875,28.425213,25.58,28.26,21.799999,49.356499,29.743849,45.470001,19.59,3.79,32.841778,49.049999,75.529999,17.4,45.709999,26.24,70.089996,29.35,13.83,13.56791,53.650002,41.040001,43.220001,41.344666,318.589996,54.5,91.564491,43.290001,21.1,75.629997,12.27,190.807434,43.169998,8.56,7.06,11.49,3.46,91.900002,23.700001,34.080002,9.3,12.85,41.43,10.99,18.83,86.389999,15.223073,63.549999,159,21.799999,28.010794,31.950001,12.95,92.849998,107.75,195.259995,23,5.89,20.719999,9.15,21.280001
2017-10-12,42.459999,4.2,13.03,7.04,21.372339,65.265602,140.381943,23.850384,151.79126,47.896881,30.429222,44.799999,16.203983,10.11,480.589996,32.919998,27.799999,49.42535,84.205978,6.99,16.541378,37.099998,42.18,52.781628,28.335386,25.610001,28.15,22.280001,49.704781,29.793606,44.889999,19.5,3.84,32.563034,48.799999,74.220001,18.1,45.41,26.370001,69.910004,29.190001,13.9,13.56791,54.25,41.099998,42.32,40.929737,321.149994,54.700001,91.415085,42.75,21.23,74.910004,11.97,190.897369,42.779999,8.61,7.06,11.7,3.45,91.599998,23.629999,34.380001,9.4,12.25,40.48,10.73,18.969999,86.330002,15.04339,63.93,161.119995,21.860001,28.09054,32.349998,12.51,94.459999,105.919998,192.919998,22.190001,5.9,21.139999,9.25,21
2017-10-13,42.099998,4.2,12.99,7.03,21.570601,65.758171,139.635757,24.049471,152.119553,47.110222,30.715359,44.639999,15.818646,10.1,475.48999,32.650002,27.690001,49.02676,84.972481,7.02,16.61113,36.650002,42.34,53.626373,28.295464,25.42,28.059999,22.16,50.252083,29.594584,45.880001,19.709999,3.94,32.861687,48.150002,74.580002,18.9,45.23,26.27,69.389999,29.379999,13.76,13.557977,54.099998,42.029999,42.139999,41.334785,319.390015,55,91.395172,42.169998,21.780001,74.339996,11.9,194.454895,43.099998,8.43,7.05,11.58,3.47,92.099998,23.709999,33.98,9.4,12.15,41.220001,10.57,19.379999,85.330002,15.103285,63.41,161.820007,22.040001,28.120443,31.65,12.64,94.940002,105.550003,192.520004,22.540001,5.83,20.879999,9.5,21.559999
