"Year","Age.group","Male","Female","BothSex","BothSexPercent"
1961,"0 - 4",268.4,260.5,528.9,16.7
1961,"5 - 9",221.6,212.1,433.7,13.7
1961,"10 - 14",161.1,160.2,321.3,10.1
1961,"15 - 19",96,91,187,5.9
1961,"20 - 24",102.1,91.6,193.7,6.1
1961,"25 - 29",129.8,118,247.8,7.8
1961,"30 - 34",135.4,124.8,260.2,8.2
1961,"35 - 39",119.1,110.1,229.2,7.2
1961,"40 - 44",106.9,96.8,203.7,6.4
1961,"45 - 49",85.1,82.6,167.7,5.3
1961,"50 - 54",64.6,69.3,133.9,4.2
1961,"55 - 59",38,53.1,91.1,2.9
1961,"60 - 64",26.8,43,69.8,2.2
1961,"65 - 69",15.3,30.3,45.6,1.4
1961,"70 - 74",9.6,20.1,29.7,0.9
1961,"75 - 79",4.1,10.2,14.3,0.5
1961,"80 - 84",2.2,5.5,7.7,0.2
1961,">= 85",0.8,2,2.8,0.1
1962,"0 - 4",271.9,263,534.9,16.2
1962,"5 - 9",243.9,222.8,466.7,14.1
1962,"10 - 14",178,175.5,353.5,10.7
1962,"15 - 19",110.8,101.7,212.5,6.4
1962,"20 - 24",107.6,90.1,197.7,6
1962,"25 - 29",129.4,114.4,243.8,7.4
1962,"30 - 34",138.1,126,264.1,8
1962,"35 - 39",122.8,113.3,236.1,7.1
1962,"40 - 44",110.6,99.9,210.5,6.4
1962,"45 - 49",79.2,85.5,164.7,5
1962,"50 - 54",69.4,72.6,142,4.3
1962,"55 - 59",41.5,55.5,97,2.9
1962,"60 - 64",29.1,45.5,74.6,2.3
1962,"65 - 69",16.4,32.2,48.6,1.5
1962,"70 - 74",10.1,21.3,31.4,1
1962,"75 - 79",4.6,11.2,15.8,0.5
1962,"80 - 84",2.1,5.5,7.6,0.2
1962,">= 85",1.1,2.6,3.7,0.1
1963,"0 - 4",275.6,265.6,541.2,15.8
1963,"5 - 9",245.1,233.1,478.2,14
1963,"10 - 14",191.6,187.6,379.2,11.1
1963,"15 - 19",124.3,114.8,239.1,7
1963,"20 - 24",109.4,88.7,198.1,5.8
1963,"25 - 29",126.8,109.8,236.6,6.9
1963,"30 - 34",138.7,125.9,264.6,7.7
1963,"35 - 39",126.4,116.5,242.9,7.1
1963,"40 - 44",113.2,102.6,215.8,6.3
1963,"45 - 49",93.2,88.1,181.3,5.3
1963,"50 - 54",73.1,75.2,148.3,4.3
1963,"55 - 59",45.6,58.1,103.7,3
1963,"60 - 64",30.5,47.1,77.6,2.3
1963,"65 - 69",17.9,34.2,52.1,1.5
1963,"70 - 74",10.4,22.5,32.9,1
1963,"75 - 79",5,12.3,17.3,0.5
1963,"80 - 84",2.1,5.6,7.7,0.2
1963,">= 85",1.2,3.1,4.3,0.1
1964,"0 - 4",275.3,265,540.3,15.4
1964,"5 - 9",255.4,243,498.4,14.2
1964,"10 - 14",202.8,197,399.8,11.4
1964,"15 - 19",137.4,130.2,267.6,7.6
1964,"20 - 24",106.1,87.5,193.6,5.5
1964,"25 - 29",120.7,104,224.7,6.4
1964,"30 - 34",136.4,124.3,260.7,7.4
1964,"35 - 39",128.8,119.5,248.3,7.1
1964,"40 - 44",113.8,104.7,218.5,6.2
1964,"45 - 49",96.5,90.6,187.1,5.3
1964,"50 - 54",75.6,77.3,152.9,4.4
1964,"55 - 59",50.1,61.1,111.2,3.2
1964,"60 - 64",31,48.2,79.2,2.3
1964,"65 - 69",19.7,36.5,56.2,1.6
1964,"70 - 74",10.5,23.6,34.1,1
1964,"75 - 79",5.6,13.6,19.2,0.5
1964,"80 - 84",2.1,5.8,7.9,0.2
