District,Population ,Area,Density,Region,Code
Central and Western,244600,12.44,19983.92,HK,CW
Eastern,574500,18.56,31217.67,HK,EA
Southern,269200,38.85,6962.68,HK,SO
Wan Chai,150900,9.83,15300.1,HK,WC
Sham Shui Po,390600,9.35,41529.41,KL,SS
Kowloon City,405400,10.02,40194.7,KL,KC
Kwun Tong,641100,11.27,56779.05,KL,KU
Wong Tai Sin,426200,9.3,45645.16,KL,WT
Yau Tsim Mong,318100,6.99,44864.09,KL,YT
Islands,146900,175.12,825.14,NT,IS
Kwai Tsing,507100,23.34,21503.86,NT,KI
North,310800,136.61,2220.19,NT,NO
Sai Kung,448600,129.65,3460.08,NT,SK
Sha Tin,648200,68.71,9433.85,NT,ST
Tai Po,307100,136.15,2220.35,NT,TP
Tsuen Wan,303600,61.71,4887.38,NT,TW
Tuen Mun,495900,82.89,5889.38,NT,TM
Yuen Long,607200,138.46,4297.99,NT,YL
