Date,HK,KL,NTE,NTW
2020/03/22,186,171.35,190.38,161.68
2020/03/15,184.57,173.21,187.54,160.55
2020/03/08,180.49,171.55,185.92,161.33
2020/03/01,179.11,174.58,185.7,163.11
2020/02/23,183.51,176.89,186.23,164.03
2020/02/16,184.25,176.82,187.05,166.17
2020/02/09,183.93,177.92,188.03,164.51
2020/02/02,185.93,176.07,187.2,163.92
2020/01/26,186.12,174.53,188.03,163.61
2020/01/19,184.5,173.47,190.13,163.45
2020/01/12,181.92,173.72,188.05,161.44
2020/01/05,185.49,172.16,189.01,162.4
2019/12/29,188.54,172.13,189.82,164.23
2019/12/22,187.81,174.17,188.53,161
2019/12/15,191.63,175.12,187.81,162.18
2019/12/08,189.69,176.92,186.34,161.18
2019/12/01,190.3,177.8,187.5,161.98
2019/11/24,190.38,179.7,189.95,163.54
2019/11/17,190.33,177.65,191.39,163.62
2019/11/10,190.83,178.75,191.68,166.23
2019/11/03,185,176.45,190.01,163.56
2019/10/27,184.53,175.82,191.5,161.33
2019/10/20,185.22,176.74,192.13,163.95
2019/10/13,183.18,177.06,192.53,167.09
2019/10/06,186.64,178.15,193.18,163.92
2019/09/29,188.16,179.74,191.37,167.05
2019/09/22,187.68,180.72,194.33,166.27
2019/09/15,189.15,181.18,195.06,166.14
2019/09/08,195.37,182.5,194.45,166.48
2019/09/01,195.09,181.59,198.46,167.49
2019/08/25,197.01,187.29,199.89,167.7
2019/08/18,197.41,188.04,199.98,168.19
2019/08/11,197.37,186.41,199.07,170.22
2019/08/04,196.16,188.63,197.31,171.73
2019/07/28,196.73,188.08,198.55,172.89
2019/07/21,198.27,187.56,202.27,169.67
2019/07/14,194.85,187.42,200.06,172.45
2019/07/07,198.84,186.73,199.59,172.11
2019/06/30,199.24,185.72,199.35,174.59
2019/06/23,188.53,187.5,199.95,171.39
2019/06/16,186.87,185.51,201,170.71
2019/06/09,188.26,183.79,200.87,170.67
2019/06/02,196.96,185.11,200.59,170.66
2019/05/26,197.46,188.21,198.95,172.46
2019/05/19,196.39,188.36,200.85,170.03
2019/05/12,197.57,184.34,200.51,169.1
2019/05/05,195.19,187.91,197.23,167.18
2019/04/28,191.86,184.34,197.81,166.54
2019/04/21,192.59,182.88,192.93,165.11
2019/04/14,190.72,180.68,187.21,165.49
2019/04/07,189.4,179.11,190.51,162.36
2019/03/31,188.2,176.36,191.15,163.69
2019/03/24,184.98,175.3,188.44,162.84
2019/03/17,178.86,173.27,186.82,161.86
2019/03/10,178.64,172.11,185.45,158.97
2019/03/03,179.22,170.25,182.71,156.49
2019/02/24,178.45,169.88,183.3,155.9
2019/02/17,178.15,168.98,182.64,154.2
2019/02/10,177.08,165.65,181.21,156.12
2019/02/03,177.6,166.74,177.54,154.46
2019/01/27,178.18,167.98,176.26,156.82
2019/01/20,178.92,166.65,180.25,154.02
2019/01/13,176.09,166.55,179.8,155.34
2019/01/06,176.29,168.63,183.86,158.03
2018/12/30,182.43,172.59,181.06,159.55
2018/12/23,182.36,172.87,181.04,158.56
2018/12/16,182.59,172.82,184.74,156.85
2018/12/09,182.9,172.81,188.37,158.31
2018/12/02,184.03,174.31,189.1,160.07
2018/11/25,182.1,176.19,189.92,162.68
2018/11/18,182.6,178.37,190.45,166.11
2018/11/11,184.97,180.07,191.79,166.26
2018/11/04,188.35,183.6,192.04,168.66
2018/10/28,187.75,186.05,193.65,169.94
 2018/10/21,190.69,186.12,194.31,171.27
 2018/10/14,191.59,185.06,196.46,171.85
 2018/10/07,191.41,184.39,203.23,169.44
 2018/09/30,191.47,185.16,203.69,168.8
 2018/09/23,191.72,185.34,205.14,168.73
 2018/09/16,191.7,184.5,206.8,168.79
 2018/09/09,192.3,184.64,207.29,169.36
 2018/09/02,192.52,188.71,207.53,170.16
 2018/08/26,193.43,187.43,208.82,171.48
 2018/08/19,193.13,184.26,206.22,172.34
 2018/08/12,193.89,185.84,206.36,173.58
 2018/08/05,192.96,184.88,204.81,174.72
 2018/07/29,194.29,185.36,205.03,176.99
 2018/07/22,193.25,183.79,205.13,176.43
 2018/07/15,197.99,182.45,203.36,172.4
 2018/07/08,195.36,184.53,204.83,173.22
 2018/07/01,195.47,182.65,203.95,171.73
 2018/06/24,195.75,181.66,201.96,170.32
 2018/06/17,190.12,181.45,201.96,169.11
 2018/06/10,189.95,180.05,199.34,166.74
 2018/06/03,190,179.46,198.17,164.63
 2018/05/27,192.54,175.6,197.86,164.06
 2018/05/20,188.74,175.94,195.81,165.01
 2018/05/13,187.79,181.92,192.07,165.17
 2018/05/06,189.52,181.71,191.86,163.71
 2018/04/29,189.55,180.67,189.12,161.94
 2018/04/22,184.99,177.28,189,161.8
 2018/04/15,187.16,174.14,191.72,162.01
 2018/04/08,181.04,174.25,187.41,160.72
