HK Electric EV Charging Station_Car Park,District,Address,Level/ Floor,EV Parking Bay No.,Service Provided,Latitude,Longitude
The Peak Galleria Car Park,Central & Western,"118 Peak Road, The Peak, Hong Kong",B1,60,Standard charging,22.27038383,114.1494522
Star Ferry Car Park,Central & Western,"9 Edinburgh Place, Central, Hong Kong",1/F,311,Quick charging ( CHAdeMO Standard ),22.28308105,114.1602554
Star Ferry Car Park,Central & Western,"9 Edinburgh Place, Central, Hong Kong",1/F,"317, 318 & 321",Standard charging,22.28308105,114.1602554
Cityplaza Car Park,Eastern,"18 Taikoo Shing Road, Taikoo Shing, Hong Kong",B3,308,Standard charging,22.28669167,114.2182007
Oi Tung Estate Car Park,Eastern,"Oi Tung Estate, Shau Kei Wan, Hong Kong",2/F,P2028,Standard charging,22.280338,114.226713
Yue Wan Estate Car Park,Eastern,"Yee Fung Street, Chai Wan, Hong Kong",1/F,84,Quick charging ( CHAdeMO Standard ),22.26483345,114.2402496
Tin Hau Car Park,Eastern,"Lau Sin Street & Electric Road Junction, Tin Hau, Hong Kong",3/F,"327,328 & 328A",Standard charging,22.28303528,114.1916885
Cyberport Car Park 1,Southern,"Cyberport 2, 100 Cyberport Road, Hong Kong",2/F,"216, 217",Standard charging,22.26254463,114.1307755
HK Electric ex-Operational Headquarters,Southern,"2 Yi Nga Drive, Ap Lei Chau, Hong Kong",G/F,/,"Quick charging ( IEC Type 2 AC, CCS DC Combo and CHAdeMO standard )",22.24432,114.148218
Stanley Plaza Car Park,Southern,"23 Carmel Road, Stanley, Hong Kong",4/F,444,Quick charging ( CHAdeMO Standard ),22.220867,114.208706
