Date,Marina-Square,Bel-Air,Kornhill,Ocean-Shores,Arch,Parc-Oasis,Ocean-View,City-One,Festival-City,Yoho-Town,Gold-Coast,D-Park
22/03/2020,17570.6,26110.9,16968.7,17556.1,38640.4,20150.1,15253.3,17597,16178.6,14642,11279.5,14101.9
15/03/2020,16839.9,27551.9,17633.2,17454.4,38726.4,19998.4,15159.2,17488.4,15956.4,15109.6,11255.8,14174
08/03/2020,16390.1,27501.2,16722.7,17622.8,38722,19945.1,14431.6,16632.4,15747.7,15450.1,11186.3,14086.5
01/03/2020,16560.4,26912.9,17679.4,16375.9,38662.9,20039.7,14424,16411.9,15647.6,15616.5,10650.9,13995
23/02/2020,17558.1,30851.8,17812.2,16597.7,39068,20809.5,14442,16454.7,15667.2,15617.5,10694.4,14138.4
16/02/2020,16845.9,30769.1,17816.2,16735.8,39073.7,20822.5,14471.7,16831.2,15699.4,15839.2,10707.3,14155.5
09/02/2020,16880.5,30787.2,17531.1,17127.2,39145.7,20826.3,14504.5,17697.2,15735,15685.5,10687.5,14129.3
02/02/2020,16293.9,30744.4,18224.3,16562.8,39168.7,20780.3,14477.6,17083.2,15853,15427.7,10680.8,14527.3
26/01/2020,16326.5,28053.3,18241.5,16089.7,38991.6,20675.5,14505.8,17116.4,16185,14750.2,10700.5,14639.3
19/01/2020,17226.9,28126.1,18072.5,16015.2,38961.2,20631.9,14564.9,18046.7,16250.9,15194.4,11588.4,14519.5
12/01/2020,16684.6,28037.2,17747.8,16037.4,38928.8,20935.2,14509.3,17977.7,16365.6,15245.9,11546.9,14467.6
05/01/2020,16615.3,27234,17549.6,15887.9,45611.4,20992.8,14540.3,18016.2,16400.6,15533.8,11558.5,14482
29/12/2019,17596.8,26203.8,17972.3,15893.5,45631.1,21008.1,14566.3,18048.4,16429.9,15585.8,11631,15087.6
22/12/2019,17570.3,26194.3,17932.8,17204.2,45689.6,21026.7,13493.7,17995.7,16381.9,15229.6,11619.5,14927.6
15/12/2019,17574.3,26411.5,18128,16843.8,45784.1,21081.1,13471.1,17965.6,16198.7,15472.9,11587.9,14887
08/12/2019,16870.5,26359.5,18098.8,17077,45939.4,21117.7,13436.1,17128.5,16377.1,15468.3,11539.7,14825.1
01/12/2019,17066.9,26269.3,18111.4,17060.4,46055.7,21130.7,13472.4,17174.8,16566.6,15433.1,11588,14887.2
24/11/2019,17118,27591.1,18330.5,17174.2,46142.4,21215.4,13543,17728.2,16484.4,15457.6,11654.4,15751.5
17/11/2019,17740,29479.7,17575.4,17084.3,46091.4,21193,13588.8,18026.4,16540.1,15176.6,11655.2,15752.6
10/11/2019,17260.1,29448.5,17809.5,17210.2,46048.1,21251.9,13483.7,18134.9,16669.6,15637.8,11706.2,15821.5
03/11/2019,15891.3,29349.9,17480.8,17588.4,46017.2,22082.8,13443.7,17263,16620.1,15528.8,11638.4,14932.6
27/10/2019,15939.3,29341.2,17472.8,17316.6,45995.6,22097.6,13484.4,17682.8,16670.5,15030.8,11635.1,13893.3
20/10/2019,15921.7,29352.6,17523.9,17359.7,46046.3,22128.6,13502,17319.2,16755.9,15334.7,11649.2,13910.1
13/10/2019,15865.9,29314.7,17422.5,17378.7,46032.4,20711.9,13515.4,17336.4,16772.5,15588.2,11695.2,13965.2
06/10/2019,15975.4,29349.1,17596,18126,46084.2,20762.8,14220.1,17326.5,16798.8,15862.1,11662.7,13926.3
29/09/2019,16383.5,28744.1,17771.3,18113,46300.6,22310.2,14378.4,16194.8,17189.8,16080.1,11721.5,13705.8
22/09/2019,16385.2,28752.7,18016.2,18148.1,46338,22328.4,14465.5,17235.1,17294,15735.4,11842.7,13977.9
15/09/2019,16631.4,28812.5,18066,18145.4,46411.1,22343.2,14489.3,17324.4,17322.4,15691.7,11861,14089.3
08/09/2019,16866,28754.8,18410.5,18217.7,46461,22382.5,14476.3,16884.6,17306.9,15614.6,11899.6,14295.4
01/09/2019,16761.4,28768.6,18406.3,18895.1,46313.2,22440.2,14601.6,18285.2,17456.7,16038.4,11935.3,14338.2
25/08/2019,17421.2,28908.8,18438.9,18955.2,46762.1,22505,14647.7,18078.3,18530.5,16006.9,11952.1,14358.4
18/08/2019,17434.5,28915.2,18772.9,18994.9,46772.4,22523.2,14650.6,17890,18534.1,15990.2,11978.7,14390.4
11/08/2019,17589.1,28932.2,19451.7,17994.5,46768.4,23486.1,14624.5,17537.2,18501.1,16543.2,11992.7,14511.4
04/08/2019,17551.5,28906.2,19391.9,18687.5,42931.5,23530.2,14568.4,17155.3,18430,16664.9,12017.3,14541.2
28/07/2019,17675.2,28917,19094,18569.7,43002.5,23485.8,14608.6,17907.7,18285.8,16735.6,12046.1,14974.3
21/07/2019,17693.1,33206.3,19211.8,18545,43140.7,23560.5,14727.8,18798,18625.6,16537.5,11685.1,15040
14/07/2019,17575.9,33199.2,19029.4,17560.6,43150.4,23541.5,14657.7,18708.5,17986.5,16423.1,11751.5,15125.6
07/07/2019,17613,33275.4,18872.1,17542.4,43192.5,22449.5,14642.4,18769.8,17967.7,16584.9,11660.1,15007.9
30/06/2019,17767.1,33365.9,19582,17619.9,43143.3,23323.7,14635,18760.3,17958.6,16832,11685.8,15166.3
23/06/2019,17274.1,33212.7,19002.5,18058.5,43079.3,23301.3,15257.7,18784.3,17981.7,16517.2,11659.8,15132.6
16/06/2019,17216.2,33219.8,18238.9,17836.9,43021.7,23279.8,15290.2,18852.6,18112.1,16455.9,11649.9,15119.8
09/06/2019,16997,33007.3,18943.8,16864,42799.6,22788.5,15286,18847.4,18107.2,16459.7,11648.2,15588.1
02/06/2019,17199.9,34817.2,19631.6,16581.9,43101.8,22847.7,15277,18836.4,18096.5,15972,11634.1,15492
26/05/2019,18218.7,31198.9,19101.5,16955.2,43010.2,22859,15223,18769.7,18032.5,16007.9,12367.3,15581.1
19/05/2019,18623.8,31582.3,18738.5,16927.4,36326.2,20720.3,15285,19258.1,17851.1,15720.7,12363,15575.6
12/05/2019,18770,31611.8,18759.5,16849.9,36102.6,22225.3,15273,19265,17837.1,15774.7,12298.8,15063.6
05/05/2019,17775.3,31140.5,19184.8,17915.6,36010.2,21873.9,15163.2,18929.5,17708.9,15475.7,12182.1,14683.2
28/04/2019,18004.1,30773.4,19029.2,17187.5,35826.7,21257.9,14534,18313.4,17743.6,15432.5,12003.1,14663.7
21/04/2019,17901.1,34347.8,18447.6,16603.3,35823.9,21290.4,14384.4,17963.9,17049.4,15037.7,11959.7,14610.7
14/04/2019,17460.7,27983.2,18258.7,17368.5,35652.3,21083.4,14223.5,15608.1,16858.8,16535.6,11938.5,14873.1
07/04/2019,17490.7,31538.5,18219.9,17539.3,35749.6,19202.5,14579.1,16897.4,16827.5,15417.5,11885.3,14192.8
31/03/2019,17463.1,30378.1,17300.6,16535.3,38704.5,19159.1,14593.3,17423.2,17076.3,15427.6,11948.2,14850.7
24/03/2019,17744.2,29732.2,18399.6,17028.6,38450.6,20039.8,14503.2,17315.6,16882.7,15753.4,11816.3,14060.8
17/03/2019,15837.1,28750.1,17952.8,16621.3,38332.8,19552,14448.2,17143.8,16585.6,16004.6,11880.7,14268.4
10/03/2019,17493,29156.3,16476.3,17067.9,38132.9,19195.2,14297.1,16336.3,16534.8,15748.7,11730.5,14280.2
03/03/2019,17507.1,28905.6,17560.1,15738.4,38023.4,19903.6,14207,15917.2,16430.6,14937.1,11632.2,13445.6
24/02/2019,16578.6,28787.7,16653.5,15883.3,43451.2,19870.4,14223.7,15909.7,16705.8,15029.1,11579.5,13384.7
17/02/2019,16719,28734.7,16730.6,15864,43320,19825.4,14847.9,16134.3,16098,14854.3,11102.3,13385.3
10/02/2019,16797.9,28806.1,17639.7,15754.5,43275.5,19824.8,14940.2,15515.9,16660.6,15953.8,11062.2,13337.1
03/02/2019,16938.1,28854.1,17610.6,15755.2,43341,19422.5,14821.6,14003.9,16528.3,0,10919.4,13386
27/01/2019,16383,28821.4,17250.2,15378.6,43345.4,21996.1,15660.7,13708.2,16488.9,15488.7,10971.4,13239.2
20/01/2019,16668.5,28862.7,17260.9,15407.7,43208.9,22013.4,15824.4,15212.5,16581.2,15177.7,10963.3,12962.2
13/01/2019,16494.1,28835.5,16783.3,15394.4,43201.7,22002,15806.5,14805,15919.3,15309.7,10977.6,12979.1
06/01/2019,16510.5,28869.2,16787.7,15330.6,43482.7,21995.7,15954.3,15726.5,16730.3,15583.6,11002.5,13325.5
30/12/2018,16851.2,28989.4,17111,15558.2,43571.1,22131.9,15845.9,15034.3,15845.5,15433,11065.8,13402.2
23/12/2018,16844.7,29124.1,17104.4,15673.8,43566.6,22142.2,15844.9,15033.3,15849.8,15324.3,11060.8,13396.1
16/12/2018,16855.9,29160.4,17120.9,15580.4,43687.1,22147.9,15981,14972.6,16560.4,15099,11095.8,13438.4
09/12/2018,16866.3,29175.5,17136.4,16141.8,43711.5,22158.8,16104.5,15872.4,17170.2,15348.1,11057.4,13561.3
02/12/2018,16854,29200.3,17207.4,16653.8,43761,22221,16136.5,15519.9,18055.7,15046.5,11131.2,13651.7
25/11/2018,16869.5,29188.7,16877.9,16714.8,43795.6,22229.3,16166.7,15250.1,18089.5,15146.5,11225.9,14565.9
18/11/2018,16886.6,29255.2,16902.8,16769.7,43990.8,22300.5,16186.1,15455.9,17950.5,15633,11295.3,14656
11/11/2018,16957.7,29306.5,17656.2,17553.1,44015.9,22342.9,16234.6,15502.2,18004.2,16337.6,11300.8,15271
04/11/2018,17077.8,29347.9,17838.4,17705,44158.6,22428.8,16243.2,15510.4,18013.7,16529.7,11335.2,15317.6
28/10/2018,17085.5,29351.8,18501.5,17821.2,44209.7,22472.4,16295.9,16054.2,18072.2,16665.2,11344.4,15329.9
21/10/2018,17467.3,29421.3,18637.6,17826.9,44240.8,22490.2,16319.6,16077.5,18192.1,16464.2,11475.2,15506.7
14/10/2018,17861.8,29468.6,18668,17776.3,44225.8,22475.4,17123.3,16116.7,18280.3,16512.5,11481.7,15515.5
